Team,Twitter_Compound_Score,Region,Wins,Losses,Win_Rate,Subscriber_Count,Youtube_Compound_Score,View_Count,Average Compound Score
100 Thieves,0.1725656934306568,North America,13,6,0.6842105263157895,139501,0.30415499999999995,2679560,0.23836034671532838
Cloud9,0.13829350000000004,North America,12,8,0.6,204420,0.16937099999999994,20305310,0.15383225
Clutch Gaming,0.2175519999999999,North America,11,9,0.55,2245,0.146872,55209,0.18221199999999996
Counter Logic Gaming,0.3114334999999999,North America,7,11,0.3888888888888889,69465,0.055084,5202114,0.18325874999999997
Echo Fox,0.2607974999999999,North America,12,7,0.631578947368421,16680,0.10861979166666667,972556,0.1847086458333333
FC Schalke 04 Esports,-0.09409599999999994,Europe,7,11,0.3888888888888889,3619,0.2005,217155,0.053202000000000034
FlyQuest,0.24922199999999986,North America,6,12,0.3333333333333333,4129,0.44326666666666653,193456,0.3462443333333332
Fnatic,0.2214865000000001,Europe,14,4,0.7777777777777778,323073,0.35123699999999997,35207380,0.28636175
G2 Esports,0.2369115,Europe,12,7,0.631578947368421,88430,-0.018238,6988252,0.10933675
Giants,0.26244899999999993,Europe,7,11,0.3888888888888889,22093,0.15891600000000006,1331208,0.2106825
Golden Guardians,0.290502,North America,4,14,0.2222222222222222,1808,0.14115100000000005,80929,0.21582650000000003
H2K,0.19956350000000006,Europe,8,10,0.4444444444444444,21116,0.274111,2766980,0.23683725000000003
Misfits Gaming,0.20048,Europe,8,10,0.4444444444444444,9937,0.19341700000000006,850439,0.19694850000000003
OpTic Gaming,0.2053674999999999,North America,5,13,0.2777777777777778,1410355,0.397646,113308492,0.30150674999999993
ROCCAT,0.15912500000000004,Europe,8,10,0.4444444444444444,177313,0.12108200000000005,12217414,0.14010350000000005
Splyce,0.11337699999999995,Europe,11,8,0.5789473684210527,10903,0.249024,532979,0.1812005
TSM,0.266308040201005,North America,13,7,0.65,693435,0.22036599999999992,147570008,0.24333702010050245
Team Liquid,0.2310230000000001,North America,12,8,0.6,113675,0.313538,12608826,0.27228050000000004
Unicorns of Love,0.43864499999999984,Europe,6,12,0.3333333333333333,20320,0.012209000000000008,1518114,0.22542699999999993
Vitality,0.2384349999999999,Europe,10,8,0.5555555555555556,34766,0.127185,1734004,0.18280999999999994
