Team;Subscriber_Count;Youtube_Compound_Score;View_Count
Fnatic;323073;0.351237;35207380
G2 Esports;88430;-0.018238;6988252
Splyce;10903;0.24902400000000002;532979
Vitality;34766;0.127185;1734004
ROCCAT;177313;0.12108200000000005;12217414
Misfits Gaming;9937;0.19341700000000003;850439
H2K;21116;0.274111;2766980
FC Schalke 04 Esports;3619;0.20049999999999998;217155
Giants;22093;0.15891600000000003;1331208
Unicorns of Love;20320;0.012209000000000008;1518114
100 Thieves;139501;0.30415499999999995;2679560
Clutch Gaming;2245;0.146872;55209
FlyQuest;4129;0.44326666666666664;193456
Cloud9;204420;0.16937099999999997;20305310
Echo Fox;16680;0.10861979166666667;972556
Team Liquid;113675;0.313538;12608826
Golden Guardians;1808;0.14115100000000003;80929
TSM;693435;0.22036599999999992;147570008
OpTic Gaming;1410355;0.39764599999999994;113308492
Counter Logic Gaming;69465;0.055084;5202114
