,Comment Count,Comments,Compound,Negative,Neutral,Positive,Published,Team
0,1,Keep doing what you&#39;re doing! lets go Fnatic!,0.0,1.0,0.0,0.0,2018-04-03T19:42:33.000Z,Fnatic
1,2,This is going to be the first exciting final since OGvsFNC in 2015 summersplit !,0.5411,0.788,0.0,0.212,2018-04-03T19:15:50.000Z,Fnatic
2,3,"Oh Baby! The Legends FNC are BACK! lets go.,<br />Caps! show perkz whos the best Midlaner EU. SMASH him! <br />U GOT THIS FNC! <a href=""http://www.youtube.com/results?search_query=%23FNCWIN"">#FNCWIN</a>",0.7482,0.823,0.0,0.177,2018-04-03T18:18:56.000Z,Fnatic
3,4,"<a href=""http://www.youtube.com/results?search_query=%23FNCNATION"">#FNCNATION</a>",0.0,1.0,0.0,0.0,2018-04-03T17:41:27.000Z,Fnatic
4,5,What does the tatoo on rekkles/martins left arm say? cant read it somehow,0.0,1.0,0.0,0.0,2018-04-03T17:32:51.000Z,Fnatic
5,6,"GO FNC, eu new champs!",0.4753,0.564,0.0,0.436,2018-04-03T16:17:46.000Z,Fnatic
6,7,"Oh yeah! FNC IS BACK, BABY!!!!",0.5216,0.598,0.0,0.402,2018-04-03T16:16:06.000Z,Fnatic
7,8,"Troupax played a really bad series imo. That guy was getting caught left, right and center.",-0.3384,0.677,0.198,0.125,2018-04-03T15:33:26.000Z,Fnatic
8,9,"<a href=""http://www.youtube.com/results?search_query=%23BROXAHSMASH"">#BROXAHSMASH</a>",0.0,1.0,0.0,0.0,2018-04-03T14:59:20.000Z,Fnatic
9,10,Omggg shots fired by caps there,-0.5574,0.581,0.419,0.0,2018-04-03T14:03:48.000Z,Fnatic
10,11,gg,0.296,0.0,0.0,1.0,2018-04-03T13:31:08.000Z,Fnatic
11,12,so good !,0.54,0.223,0.0,0.777,2018-04-03T13:19:59.000Z,Fnatic
12,13,Caps too good,0.4404,0.408,0.0,0.592,2018-04-03T13:18:49.000Z,Fnatic
13,14,Caps is fucking the shit at the team,0.6124,0.636,0.0,0.364,2018-04-03T13:18:42.000Z,Fnatic
14,15,"We are waiting for you in Denmark, future champions!",0.5707,0.684,0.0,0.316,2018-04-03T13:14:49.000Z,Fnatic
15,16,"They tried to ban Rekkles&#39; champion pool but they forgot one thing : Martin has no champion pool, he can play everything.",0.7783,0.5,0.159,0.341,2018-04-03T13:13:29.000Z,Fnatic
16,17,Best team ever! I really want to see them in msi.,0.7257,0.568,0.0,0.432,2018-04-03T13:12:57.000Z,Fnatic
17,18,thats what im talking about bring the G2 down ! fnatic fnatic fnatic !,0.0,1.0,0.0,0.0,2018-04-03T13:12:33.000Z,Fnatic
18,19,the burn,0.0,1.0,0.0,0.0,2018-04-03T13:10:13.000Z,Fnatic
19,20,Gj FNC,0.4588,0.25,0.0,0.75,2018-04-03T13:02:20.000Z,Fnatic
20,21,The Good O&#39;l days :~(,0.4404,0.58,0.0,0.42,2018-04-03T09:04:53.000Z,Fnatic
21,22,I love to heard sOAZ talk,0.6369,0.488,0.0,0.512,2018-04-01T22:32:54.000Z,Fnatic
22,23,FNC &lt;3,0.0,1.0,0.0,0.0,2018-04-01T17:26:16.000Z,Fnatic
23,24,&quot;The worst support i&#39;ve ever played with&quot;<br />-Doublelift,-0.0,0.352,0.289,0.359,2018-04-01T16:17:11.000Z,Fnatic
24,25,what tilts rekkles? obvious the support that troll him lvl 3.,0.4019,0.787,0.0,0.213,2018-03-31T20:38:39.000Z,Fnatic
25,26,anyone got any help/hints?,0.0,1.0,0.0,0.0,2018-03-30T17:27:16.000Z,Fnatic
26,27,"jesus christ i finished the whole game. That was really cool, gg and good luck.",0.8742,0.477,0.0,0.523,2018-03-30T17:02:38.000Z,Fnatic
27,28,Update did anyone found this or any clue ?,0.0,1.0,0.0,0.0,2018-03-30T16:17:01.000Z,Fnatic
28,29,C,0.0,0.0,0.0,0.0,2018-03-30T15:46:22.000Z,Fnatic
29,30,anyone knows next?,0.0,1.0,0.0,0.0,2018-03-30T15:38:32.000Z,Fnatic
30,31,"i need help to find the next one, please fnatic.",0.6124,0.583,0.0,0.417,2018-03-30T15:37:45.000Z,Fnatic
31,32,i found it.,0.0,1.0,0.0,0.0,2018-03-30T15:37:33.000Z,Fnatic
32,33,Lets go boyz,0.0,1.0,0.0,0.0,2018-03-30T15:29:58.000Z,Fnatic
33,34,Anyone knows next?,0.0,1.0,0.0,0.0,2018-03-30T15:26:04.000Z,Fnatic
34,35,"Jesiz my man, you made me rofl in this video. Never change, man.",0.5719,0.764,0.0,0.236,2018-03-30T15:09:18.000Z,Fnatic
35,36,Next clue?,0.0,1.0,0.0,0.0,2018-03-30T14:41:05.000Z,Fnatic
36,37,here up its the clue,0.0,1.0,0.0,0.0,2018-03-30T14:38:36.000Z,Fnatic
37,38,next clue?,0.0,1.0,0.0,0.0,2018-03-30T14:22:38.000Z,Fnatic
38,39,Pretty sure the Easter egg hunt leads here... but no idea where to find it xd,0.7311,0.505,0.118,0.377,2018-03-30T14:19:17.000Z,Fnatic
39,40,"Pff that clue, sneaky",-0.2263,0.612,0.388,0.0,2018-03-30T14:08:42.000Z,Fnatic
40,41,what song is that called,0.0,1.0,0.0,0.0,2018-03-28T22:44:18.000Z,Fnatic
41,42,I do sleep. In minecraft,0.0,1.0,0.0,0.0,2018-03-28T17:12:54.000Z,Fnatic
42,43,"i can not find the first song using the title in the description... someone can tell me what artist is? Please, the song is so dam good.",0.6682,0.814,0.0,0.186,2018-03-28T11:24:44.000Z,Fnatic
43,44,Gooooddddss,0.0,1.0,0.0,0.0,2018-03-25T02:47:19.000Z,Fnatic
44,45,👍nice,0.0,1.0,0.0,0.0,2018-03-25T00:27:52.000Z,Fnatic
45,46,lol the fuckin t shirt remix,0.4215,0.588,0.0,0.412,2018-03-25T00:06:46.000Z,Fnatic
46,47,ESKIIT SKRR,0.0,1.0,0.0,0.0,2018-03-24T23:46:02.000Z,Fnatic
47,48,so u gonna win everything now until the next katowice? again? oh boi... :D,0.8581,0.565,0.0,0.435,2018-03-24T20:44:55.000Z,Fnatic
48,49,"Nice edit, really enjoyed the Flusha clutch part!",0.7707,0.473,0.0,0.527,2018-03-24T19:01:39.000Z,Fnatic
49,50,Seriously I&#39;m gonna fuck*ng cry if Fnatic wins the world2018 😭,-0.0258,0.452,0.31,0.239,2018-03-24T18:09:32.000Z,Fnatic
50,51,Happy to hear that Golden still &quot; Xzists&quot; in roster,0.5719,0.709,0.0,0.291,2018-03-24T16:51:56.000Z,Fnatic
51,52,"<a href=""http://www.youtube.com/results?search_query=%23BleedORANGE"">#BleedORANGE</a>",0.0,1.0,0.0,0.0,2018-03-24T16:48:37.000Z,Fnatic
52,53,PAPA KRIMZ,0.0,1.0,0.0,0.0,2018-03-24T16:31:28.000Z,Fnatic
53,54,Fnatic was it 2017 or 2018?,0.0,1.0,0.0,0.0,2018-03-24T15:58:55.000Z,Fnatic
54,55,Unos grandes...,0.0,1.0,0.0,0.0,2018-03-24T15:55:32.000Z,Fnatic
55,56,"<a href=""https://www.youtube.com/watch?v=c4J3jkMFe7k&amp;t=1m57s"">1:57</a> every player dream",0.25,0.667,0.0,0.333,2018-03-24T14:33:07.000Z,Fnatic
56,57,haha wtf that grading...,-0.2023,0.227,0.432,0.341,2018-03-24T14:30:29.000Z,Fnatic
57,58,Lekro = King<br />Rekkles = God,0.2732,0.588,0.0,0.412,2018-03-24T14:28:38.000Z,Fnatic
58,59,Hope you like the clean edit!,0.8122,0.263,0.0,0.737,2018-03-24T14:12:43.000Z,Fnatic
59,60,1st,0.0,1.0,0.0,0.0,2018-03-24T14:09:29.000Z,Fnatic
60,61,bad editor. you should get dignitas waves.,-0.5423,0.632,0.368,0.0,2018-03-24T14:03:02.000Z,Fnatic
61,62,Caps have imagine dragons tshirt soo i like him insta,0.3612,0.762,0.0,0.238,2018-03-23T11:23:09.000Z,Fnatic
62,63,do not touch a paolocannone <br />22,0.0,1.0,0.0,0.0,2018-03-22T12:30:11.000Z,Fnatic
63,64,Such smooth macro 😍,0.0,1.0,0.0,0.0,2018-03-22T02:31:51.000Z,Fnatic
64,65,hey do u know who is Noway4you ?,0.0,1.0,0.0,0.0,2018-03-21T22:07:36.000Z,Fnatic
65,66,First song name?,0.0,1.0,0.0,0.0,2018-03-21T20:56:36.000Z,Fnatic
66,67,2018 - Who is still watching this? Miss the 2015 Fnatic!,-0.2598,0.815,0.185,0.0,2018-03-21T11:44:49.000Z,Fnatic
67,68,"I&#39;m not crying, you&#39;re crying.",0.6259,0.37,0.0,0.63,2018-03-20T21:41:38.000Z,Fnatic
68,69,i really miss the old/long &#39;&#39;episodes&#39;&#39;!,-0.2926,0.647,0.353,0.0,2018-03-20T18:13:38.000Z,Fnatic
69,70,The best team in the world ❤️ FNC forever ❤️,0.6369,0.682,0.0,0.318,2018-03-20T11:24:35.000Z,Fnatic
70,71,Eller like,0.3612,0.286,0.0,0.714,2018-03-20T01:39:52.000Z,Fnatic
71,72,they have 2 top lanner now ?,0.2023,0.69,0.0,0.31,2018-03-19T16:24:50.000Z,Fnatic
72,73,The team should be renamed to &quot;Rekkles and Friends&quot; or &quot;Rekkles and his supports&quot; LOL,0.5473,0.798,0.0,0.202,2018-03-19T15:00:56.000Z,Fnatic
73,74,Man how I would love to hear their voice comms besides the mic checks.,0.6369,0.741,0.0,0.259,2018-03-19T14:33:30.000Z,Fnatic
74,75,FNC WINNNNNNNN,0.0,1.0,0.0,0.0,2018-03-19T11:42:04.000Z,Fnatic
75,76,I bet this video was made by DutchMash,0.0,1.0,0.0,0.0,2018-03-19T08:29:17.000Z,Fnatic
76,77,Nice Penta... Oh wait.<br /><br /><br /><br /><br />Just kidding. Amazing team.,0.7906,0.529,0.0,0.471,2018-03-18T23:40:46.000Z,Fnatic
77,78,Bwipo has alot of potential make something out of him!,0.0,1.0,0.0,0.0,2018-03-18T20:27:29.000Z,Fnatic
78,79,definetly a reminder why &lt;3 GO FNC,0.0,1.0,0.0,0.0,2018-03-18T20:05:03.000Z,Fnatic
79,80,"<a href=""http://www.youtube.com/results?search_query=%23Rekkles"">#Rekkles</a> a BEAST!",0.0,1.0,0.0,0.0,2018-03-18T19:48:25.000Z,Fnatic
80,81,You are ready to win LCS Spring Split guys !,0.7644,0.515,0.0,0.485,2018-03-18T19:07:26.000Z,Fnatic
