,About,Channel ID,Date Created,Team,Subscriber Count,Video Count,View Count,Compound
0,Fnatic is a leading eSports organisation competing at the highest level across numerous games. Our goals is to win and provide great entertainment for our fans. Subscribe for more videos and...,UCxo56gzJQ_fhb6svPqTSewg,2007-09-01T23:18:11.000Z,Fnatic,323090,1467,35224636,0.224282
1,"G2 Esports is a World Premier eSports Club founded in November, 2013 by Carlos 'ocelote' Rodriguez with a true love for bringing innovation to the industry whilst upholding our core values...",UCs9Bi1j5s25Yinhmd-NJvJw,2014-01-20T18:41:30.000Z,G2 Esports,88967,283,7010398,0.13112100000000002
2,"Splyce, founded in 2015, is home to top level teams across multiple esports titles. Since its inception, the organization grew to include teams in League Of Legends, Call Of Duty, Counter-Strike,...",UC30f1UTFNXfcGcrsojwOpSw,2015-12-19T17:12:43.000Z,Splyce,11009,299,533933,0.317266
3,,UCgjhed4ZWlmC25hS4Sgs7gw,2015-12-09T13:36:53.000Z,Vitality,52134,56,2391022,0.018994000000000004
4,"WE ARE ROCCAT, YOU ARE ROCCAT We are gamers, leading pioneers of the esport movement, dedicated to high quality in-house gear design and engineering, future driven, German created, internationally...",UCJYOx0a2eU_lKmYAOX7Cxxw,2009-06-26T07:31:53.000Z,ROCCAT,177209,430,12224808,0.10670000000000003
5,Official YouTube of the premium esports organization Misfits Gaming.,UCNlfMcV8ettCBDXP3MQMM6Q,2016-11-23T12:04:14.000Z,Misfits Gaming,9952,54,851241,0.44326666666666664
6,,UCPeD5OWc42p-Rhq7_HKQ4WA,2016-05-16T10:29:09.000Z,H2K,21091,196,2768138,0.13525699999999996
7,"Find behind the scene insights of our boot camps, news and videos of professional players exclusively on the website. Don't miss out on the fun!",UCW5NJHURAfjEywb_2SOlrbA,2016-10-24T09:50:41.000Z,FC Schalke 04 Esports,3617,17,217366,0.19341700000000003
8,"Welcome to the official channel of the Giants, the leading Pro Gaming Team in Spain. Subscribe our channel and help us to make our way into the international top! www.giantsgaming.pro.",UCgwqIJ1iCyIe49CPUe6iqfQ,2010-06-05T21:44:04.000Z,Giants,22127,313,1334178,0.0016250000000000114
9,"The Official YouTube Channel of European LCS Team, Unicorns of Love.",UCKe45PmvzzQTmh5-d1kJ-qg,2014-03-20T18:08:48.000Z,Unicorns of Love,20310,106,1518288,0.39764599999999994
10,Website: https://100Thieves.com ▻ Twitter: https://Twitter.com/100Thieves ▻ Facebook: https://Facebook.com/100Thieves ▻ Instagram: https://Instagram.com/100thieves ▻ Discord: https://Di...,UCnrX2_FoKieobtw19PiphDw,2017-10-18T19:21:34.000Z,100 Thieves,141242,17,2809733,0.24597999999999992
11,"Official YouTube channel for Clutch Gaming, an esports organization for the Houston Rockets.",UCzXSr6GhwE24RqGpQYxp-1g,2018-02-19T19:25:43.000Z,Clutch Gaming,2669,8,83682,0.3117089999999999
12,,UCy0omD6TIJklBme14VQqV6A,2017-04-08T01:46:53.000Z,FlyQuest,4136,39,193599,0.28128899999999996
13,The Official Youtube Channel of Cloud9.,UCEkorHXUNJ5tpcH0VE77_fA,2013-06-17T03:14:59.000Z,Cloud9,209101,537,20668067,0.056602000000000006
14,"Echo Fox is a premier eSports group with elite teams in League of Legends and Counter Strike: Global Offensive. Under the guidance of three-time NBA Champion, Rick Fox, the Echo Fox teams strive...",UCNUKTjgmA5gPwrUYmdgfqvw,2015-12-19T21:02:20.000Z,Echo Fox,16699,106,978699,0.13022100000000003
15,Skill. Passion. Content. The best pro-gaming team in the world.,UCLSWNf28X3mVTxTT3_nLCcw,2015-01-04T21:02:57.000Z,Team Liquid,114120,333,12649836,0.184657
16,Official Account of the Golden Guardians LCS Team.,UCV3_tt-m96bNztRaDAkPc-g,2017-11-13T23:18:47.000Z,Golden Guardians,1813,21,81051,0.30415499999999995
17,"Team SoloMid is the most popular esports organization in North America. Subscribe to our channel for high-quality content from our teams competing in League of Legends, PUBG, Super Smash Bros.,...",UC4Ndz98NI_-9VQM3E7fctnQ,2010-01-04T06:48:49.000Z,TSM,696130,1230,147681751,0.169355
18,The Global Leader in Gaming Entertainment. Store http://shop.optic.tv Instagram http://www.instagram.com/opticgaming Business inquiries: Info@triggerfish.gg.,UCVhkzoReyB25jpFEeXjh3kQ,2009-09-05T03:48:36.000Z,OpTic Gaming,1410148,1093,113394425,0.267275
19,"CLG is a premiere esports gaming organization with top teams competing in League of Legends, Counter Strike, Overwatch and Smash Bros.",UCUYdOka3TBY0OV75AkiuMRw,2011-04-01T04:22:19.000Z,Counter Logic Gaming,69477,183,5212899,0.13475899999999996
