,Team,Compound
0,100 Thieves,0.24597999999999992
1,Cloud9,0.056602000000000006
2,Clutch Gaming,0.3117089999999999
3,Counter Logic Gaming,0.13475899999999996
4,Echo Fox,0.13022100000000003
5,FC Schalke 04 Esports,0.19341700000000003
6,FlyQuest,0.28128899999999996
7,Fnatic,0.224282
8,G2 Esports,0.13112100000000002
9,Giants,0.0016250000000000114
10,Golden Guardians,0.30415499999999995
11,H2K,0.13525699999999996
12,Misfits Gaming,0.44326666666666664
13,OpTic Gaming,0.267275
14,ROCCAT,0.10670000000000003
15,Splyce,0.317266
16,TSM,0.169355
17,Team Liquid,0.184657
18,Unicorns of Love,0.39764599999999994
19,Vitality,0.018994000000000004
