,Subscriber Count,Team,Video Count,View Count
0,323073,Fnatic,1466,35207380
1,88430,G2 Esports,283,6988252
2,10903,Splyce,299,532979
3,34766,Vitality,55,1734004
4,177313,ROCCAT,429,12217414
5,9937,Misfits Gaming,54,850439
6,21116,H2K,195,2766980
7,3619,FC Schalke 04 Esports,17,217155
8,22093,Giants,312,1331208
9,20320,Unicorns of Love,106,1518114
10,139501,100 Thieves,16,2679560
11,2245,Clutch Gaming,6,55209
12,4129,FlyQuest,39,193456
13,204420,Cloud9,534,20305310
14,16680,Echo Fox,105,972556
15,113675,Team Liquid,332,12608826
16,1808,Golden Guardians,21,80929
17,693435,TSM,1230,147570008
18,1410355,OpTic Gaming,1092,113308492
19,69465,Counter Logic Gaming,183,5202114
