Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
0.0,Fri Mar 30 02:14:50 +0000 2018,0.0,1.0,0.0,@Fanatics,1,"RT @NHL: In back-to-back seasons, the @MapleLeafs are in! #StanleyCup https://t.co/61mR3rqoPN"
0.0,Fri Mar 30 01:49:43 +0000 2018,0.0,1.0,0.0,@Fanatics,1,RT @Capitals: Ticket Booked. #ALLCAPS https://t.co/TJrZBDu9LL
-0.4559,Fri Mar 30 00:56:05 +0000 2018,0.136,0.864,0.0,@Fanatics,1,"RT @iamBenLyons: #TheWarmup is back and we are LIVE on @nba + @TwitterSports! 730pmEST. Crazy show tonight...
(Shouts to @Fanatics! #TrustT…"
0.0,Thu Mar 29 21:06:51 +0000 2018,0.0,1.0,0.0,@Fanatics,1,"RT @FansAuthentic: It's #ShoTime for Shohei Ohtani as he singles on the 1st pitch of his 1st career @MLB at-bat.

New debut products coming…"
0.5093,Thu Mar 29 20:27:27 +0000 2018,0.0,0.646,0.354,@Fanatics,1,💪 Glad we aren't that baseball! #FanaticsExclusive https://t.co/dkXLgk5E8E
0.0,Thu Mar 29 18:49:44 +0000 2018,0.0,1.0,0.0,@Fanatics,1,"With #OpeningDay finally here, tag someone who needs this @MLB Beginner's Guide! 

https://t.co/PgKwvddEAb"
0.5255,Thu Mar 29 18:44:23 +0000 2018,0.0,0.596,0.404,@Fanatics,1,Proud of our #FanaticsExclusive athlete! https://t.co/eqtedxZIxm
0.0,Thu Mar 29 17:36:28 +0000 2018,0.0,1.0,0.0,@Fanatics,1,"👀 at #FinalFour sales! 

@umichbball leads the way with 18 states while @KUHoops is right behind them with 16!
Both… https://t.co/roFNKoCNdD"
0.0,Thu Mar 29 16:58:09 +0000 2018,0.0,1.0,0.0,@Fanatics,1,@Cubs @MLB First pitch of the 2018 @MLB season 😲 https://t.co/evnGSBj9WV
0.0,Thu Mar 29 16:52:49 +0000 2018,0.0,1.0,0.0,@Fanatics,1,Mood with #OpeningDay finally here 😄 https://t.co/bPG7LIp0t4
0.0,Thu Mar 29 16:48:06 +0000 2018,0.0,1.0,0.0,@Fanatics,1,"RT @MLB: Game 1. 

It all starts here. #OpeningDay https://t.co/ov5qvADvaD"
-0.2003,Thu Mar 29 16:45:29 +0000 2018,0.122,0.788,0.091,@Fanatics,1,The #NYJets are on the clock of the @OfficialNFLShop Mock Fan Draft! Who should they draft now that Saquon and Darn… https://t.co/Xe0JErZOu9
0.4019,Thu Mar 29 16:07:13 +0000 2018,0.0,0.838,0.162,@Fanatics,1,"@FansAuthentic @RamblersMBB But are there any #SisterJean shirts? 

Yes, we have those too: https://t.co/Y0cy3MhYJ1 https://t.co/nRgRBMk6ij"
0.0,Thu Mar 29 15:53:43 +0000 2018,0.0,1.0,0.0,@Fanatics,1,"RT @MLB: Hashtag emojis are here for #OpeningDay.

And they’re staying ALL. SEASON. LONG. https://t.co/xIapkDyjx1"
0.0,Thu Mar 29 15:34:35 +0000 2018,0.0,1.0,0.0,@Fanatics,1,👏👏 https://t.co/2tKmdJblGh
